问题id,问题,SQL,SQL结果,预测SQL,SQL正确,预测SQL结果,结果正确
55,请问股票代码为301005的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '301005'
    AND 交易日 LIKE '2021%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 91}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '301005'
    AND 交易日 LIKE '2021%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",True,[{'天数': 91}],True
56,我想知道股票000637在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '000637'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '石油化工'}],"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '000637'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",True,[{'二级行业名称': '石油化工'}],True
57,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
    AND 个人投资者持有的基金份额 > 机构投资者持有的基金份额
)
AND 基金类型 = '混合型'
LIMIT 1;",[{'数量': 1207}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
    AND 个人投资者持有的基金份额 > 机构投资者持有的基金份额
)
AND 基金类型 = '混合型'
LIMIT 1;",True,[{'数量': 1207}],True
58,帮我查一下在2020年，代码为002868的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '002868'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",[{'天数': 99}],"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '002868'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",True,[{'天数': 99}],True
61,请查询：在20191129，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20191129'
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '仪器仪表'
LIMIT 1;",[{'平均成交金额': 75707757.0}],"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20191129'
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '仪器仪表'
LIMIT 1;",True,[{'平均成交金额': 75707757.0}],True
62,易方达基金管理有限公司2019年成立了多少基金?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '易方达基金管理有限公司'
AND 成立日期 LIKE '2019%'
LIMIT 1;",[{'数量': 57}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '易方达基金管理有限公司'
AND 成立日期 LIKE '2019%'
LIMIT 1;",True,[{'数量': 57}],True
63,嘉实基金管理有限公司管理的债券型产品的数量有多少?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '嘉实基金管理有限公司'
AND 基金类型 = '债券型'
LIMIT 1;",[{'数量': 36}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '嘉实基金管理有限公司'
AND 基金类型 = '债券型'
LIMIT 1;",True,[{'数量': 36}],True
64,我想知道股票002720在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '002720'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '纺织制造'}],"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '002720'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",True,[{'二级行业名称': '纺织制造'}],True
65,请帮我查询在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2021-03-31%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总赎回份额 = 0
LIMIT 1;",[{'数量': 966}],"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2021-03-31%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总赎回份额 = 0
LIMIT 1;",True,[{'数量': 966}],True
66,我想知道股票600508在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '600508'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '煤炭开采'}],"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '600508'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",True,[{'二级行业名称': '煤炭开采'}],True
68,我想知道2020年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,"SELECT COUNT(*) AS 数量, ROUND(SUM(机构投资者持有的基金份额), 2) AS 持有份额
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2020
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额占总份额比例 > 30
LIMIT 1;","[{'数量': 1655, '持有份额': 2114838198074.3}]","SELECT COUNT(*) AS 数量, ROUND(SUM(机构投资者持有的基金份额), 2) AS 持有份额
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2020
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额占总份额比例 > 30
LIMIT 1;",True,"[{'数量': 1655, '持有份额': 2114838198074.3}]",True
70,博时基金管理有限公司管理的股票型产品的数量有多少?,"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '博时基金管理有限公司'
AND 基金类型 = '股票型'
LIMIT 1;",[{'数量': 16}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '博时基金管理有限公司'
AND 基金类型 = '股票型'
LIMIT 1;",False,[{'数量': 16}],True
71,20211207日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20211207'
ORDER BY [成交金额(元)] DESC
LIMIT 3;","[{'股票代码': '300750'}, {'股票代码': '600031'}, {'股票代码': '002466'}]","SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20211207'
ORDER BY [成交金额(元)] DESC
LIMIT 3;",True,"[{'股票代码': '300750'}, {'股票代码': '600031'}, {'股票代码': '002466'}]",True
74,请帮我查询下股票代码为300873的股票在2021年内最高日收盘价是多少？,"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '300873'
AND 交易日 LIKE '2021%'
LIMIT 1;",[{'最高日收盘价': 53.76}],"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '300873'
AND 交易日 LIKE '2021%'
LIMIT 1;",True,[{'最高日收盘价': 53.76}],True
75,请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '000798'
    AND 交易日 LIKE '2020%'
),
t2 AS (
    SELECT [今开盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 年化收益率
FROM t2 JOIN t3
LIMIT 1;",[{'年化收益率': 86.57}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '000798'
    AND 交易日 LIKE '2020%'
),
t2 AS (
    SELECT [今开盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 年化收益率
FROM t2 JOIN t3
LIMIT 1;",True,[{'年化收益率': 86.57}],True
76,"在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT 债券类型
FROM 基金债券持仓明细
WHERE 持仓日期 = '20210630'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '华夏中债1-3年政策性金融债指数C'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '金融债券'}],"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 持仓日期 = '20210630'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '华夏中债1-3年政策性金融债指数C'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",True,[{'债券类型': '金融债券'}],True
77,请查询：在20190510，属于申万二级餐饮行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190510'
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '餐饮'
LIMIT 1;",[{'平均成交金额': 27319513.66667}],"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190510'
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '餐饮'
LIMIT 1;",True,[{'平均成交金额': 27319513.66667}],True
79,"请帮我查询下在2020年, 农银汇理基金管理有限公司管理的债券型基金中，持有过同业存单的基金有多少只？","SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '农银汇理基金管理有限公司'
)
AND 持仓日期 LIKE '2020%'
AND 债券类型 = '同业存单'
LIMIT 1;",[{'数量': 4}],"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '农银汇理基金管理有限公司'
)
AND 持仓日期 LIKE '2020%'
AND 债券类型 = '同业存单'
LIMIT 1;",True,[{'数量': 4}],True
80,在2021年12月年报(含半年报)中，惠升惠民混合A基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有几个？,"WITH t1 AS (
    SELECT *
    FROM 基金股票持仓明细
    WHERE 持仓日期 = '20211231'
    AND 报告类型 = '年报(含半年报)'
    AND 基金简称 = '惠升惠民混合A'
    ORDER BY 市值 DESC
    LIMIT 10
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 所在证券市场 = '中国香港证券交易所'
LIMIT 1;",[{'数量': 2}],"WITH t1 AS (
    SELECT *
    FROM 基金股票持仓明细
    WHERE 持仓日期 = '20211231'
    AND 报告类型 = '年报(含半年报)'
    AND 基金简称 = '惠升惠民混合A'
    ORDER BY 市值 DESC
    LIMIT 10
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 所在证券市场 = '中国香港证券交易所'
LIMIT 1;",True,[{'数量': 2}],True
82,2021年年度报告里，凯石基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,"SELECT COUNT(*) AS 数量
FROM 基金份额持有人结构
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '凯石基金管理有限公司'
)
AND 定期报告所属年度 = 2021
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额 > 个人投资者持有的基金份额
LIMIT 1;",[{'数量': 2}],"SELECT COUNT(*) AS 数量
FROM 基金份额持有人结构
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '凯石基金管理有限公司'
)
AND 定期报告所属年度 = 2021
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额 > 个人投资者持有的基金份额
LIMIT 1;",True,[{'数量': 2}],True
83,20200923日，一级行业为建筑的股票的成交量合计是多少？取整。,"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200923'
AND t2.一级行业名称 = '建筑'
LIMIT 1;",[{'成交量合计': 1397850836}],"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200923'
AND t2.一级行业名称 = '建筑'
LIMIT 1;",True,[{'成交量合计': 1397850836}],True
86,请查询在20190115日期，中信行业分类下轻工制造一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190115'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '轻工制造'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",[{'股票代码': '603833'}],"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190115'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '轻工制造'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",True,[{'股票代码': '603833'}],True
87,查询下基金代码008295的基金，它的管理费率是？,"SELECT 管理费率
FROM 基金基本信息
WHERE 基金代码 = '008295'
LIMIT 1;",[{'管理费率': '1.2%'}],"SELECT 管理费率
FROM 基金基本信息
WHERE 基金代码 = '008295'
LIMIT 1;",True,[{'管理费率': '1.2%'}],True
89,我想知道博远增强回报债券A基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '博远增强回报债券A'
AND t1.持仓日期 = '20200930'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '农林牧渔'}],"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '博远增强回报债券A'
AND t1.持仓日期 = '20200930'
AND t1.报告类型 = '季报'
AND t2.行业划分标准 = '申万行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",True,[{'一级行业名称': '农林牧渔'}],True
90,我想知道在2020年，华润元大基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '华润元大基金管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",[{'数量': 2}],"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '华润元大基金管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",True,[{'数量': 2}],True
