问题id,问题,FA,SQL结果
161,请列出国泰基金管理有限公司在2020年成立并且托管人为中国邮政储蓄银行股份有限公司的所有基金的基金托管费率的平均数。,国泰基金管理有限公司在2020年成立并且托管人为中国邮政储蓄银行股份有限公司的所有基金的基金托管费率的平均数是0.05%。,"[(0.05,)]"
162,请帮我查询出20201020日，电力及公用事业一级行业涨幅超过5%（不包含）的股票数量。,20201020日，电力及公用事业一级行业涨幅超过5%（不包含）的股票数量为7。,"[(7,)]"
163,常熟风范电力设备股份有限公司的主营业务是什么？ 是否在报告期内发生重大变化？,N_A,N_A
164,联化科技股份有限公司目前的主要产品是什么？,N_A,N_A
165,依据招股意向书，常熟风范电力设备股份有限公司本次发行股票数量是多少？,N_A,N_A
166,请查询在2019年度，002093股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2019年度，002093股票涨停天数是6天。,"[(6,)]"
167,在2021年的中期报告里，中信证券股份有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,在2021年的中期报告里，中信证券股份有限公司管理的基金中，有100.00%的比例的基金是个人投资者持有的份额超过机构投资者。,"[(100.0,)]"
168,我想知道鹏扬添利增强债券A基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,用中信一级行业统计，鹏扬添利增强债券A基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
169,根据大连派思燃气系统股份有限公司招股意向书，预计到2030年，天然气发电用气在天然气消费结构中的比例将上升到多少？,N_A,N_A
170,请列出平安基金管理有限公司在2019年成立并且托管人为兴业银行股份有限公司的所有基金的基金托管费率的平均数。,平安基金管理有限公司在2019年成立并且托管人为兴业银行股份有限公司的所有基金的基金托管费率的平均数是0.1%。,"[(0.1,)]"
171,青海互助青稞酒股份有限公司主要困难是什么？,N_A,N_A
172,广州中海达卫星导航技术股份有限公司的子公司中海达测绘的主营业务是什么？,N_A,N_A
173,"请帮我查询在2020年,信达澳亚基金管理有限公司成立哪种类型的基金个数最多?","在2020年,信达澳亚基金管理有限公司成立混合型的基金个数最多。","[('混合型',)]"
174,兰州海默科技股份有限公司的主营业务有何季节性特征？,N_A,N_A
175,汉嘉设计集团股份有限公司法定代表人是谁？,N_A,N_A
176,浙商智多宝稳健一年持有期混合A基金在20211231且报告类型是季报的持债市值中，哪类债券市值最高？,浙商智多宝稳健一年持有期混合A基金在20211231且报告类型是季报的持债市值中，金融债券债券市值最高。,"[('金融债券',)]"
177,股票000554在20210723日期中的收盘价是多少?（小数点保留3位）,股票000554在20210723日期中的收盘价是4.430元。,"[(4.43,)]"
178,20190726日，一级行业为电力设备的股票的成交量合计是多少？取整。,20190726日，一级行业为电力设备的股票的成交量合计是899465961股。,"[(899465961.0,)]"
179,湖南国科微电子股份有限公司的主营业务是什么？,N_A,N_A
180,20201231日，中国化学在多少只基金的前五大重仓股中？,20201231日，中国化学在3只基金的前五大重仓股中。,"[(3,)]"
181,在2020年7月10日，使用中信行业分类标准，股票代码603801是属于哪个一级行业的?,在2020年7月10日，使用中信行业分类标准，股票代码603801属于轻工制造一级行业。,"[('轻工制造',)]"
182,江苏爱康太阳能科技股份有限公司拥有的参股子公司是哪些？,N_A,N_A
183,我想知道兴全磐稳增利债券C基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，兴全磐稳增利债券C基金在20200930的季报中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
184,西安启源机电装备股份有限公司专用设备销售价格波动的主要原因是什么？,N_A,N_A
185,从长期来看，影响烟台杰瑞石油服务集团股份有限公司所处行业景气程度的因素有哪些？,N_A,N_A
186,北京天宜上佳高新材料股份有限公司外购件有哪些？,N_A,N_A
187,我想知道浦银安盛双债增强债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，浦银安盛双债增强债券C基金在20200331的季报中，其可转债持仓占比最大的是采掘行业。,"[('采掘',)]"
188,在2020年12月季报中，持有东方雨虹这一股票且市值占基金资产净值比不小于5%的有几只基金？,在2020年12月季报中，持有东方雨虹这一股票且市值占基金资产净值比不小于5%的有8只基金。,"[(8,)]"
189,浙江双飞无油轴承股份有限公司目前的主要产品应用在哪些下游领域？,N_A,N_A
190,我想知道博时价值臻选两年持有期灵活配置混合C基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年年度报告中，博时价值臻选两年持有期灵活配置混合C基金的前10大重仓股中有9只股票在报告期内取得正收益。,"[(9,)]"
191,20200923港股下跌的股票家数有多少家?,20200923港股下跌的股票家数有1280家。,"[(1280,)]"
192,我想知道凯石沣混合C基金在20201231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，凯石沣混合C基金在20201231的季报中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
193,"我想了解南方益和灵活配置混合基金,在2019年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",在2019年一季度的季报中，南方益和灵活配置混合基金的第6大重仓股的简称是爱建集团，股票代码代码为600643。该股票当季度涨跌幅为37.81%。,"[('600643', '爱建集团', 37.81)]"
194,昇兴集团股份有限公司的主要产品是什么？其主要原材料是什么？,N_A,N_A
195,国寿安保泰弘纯债债券基金在20210930的季报里，前三大持仓占比的债券名称是什么?,国寿安保泰弘纯债债券基金在20210930的季报里，前三大持仓占比的债券名称是17国开06，19国泰君安金融债01和18中信银行二级01。,"[('17国开06',), ('19国泰君安金融债01',), ('18中信银行二级01',)]"
196,"请查询：2020年12月年报(含半年报),持有20平安银行CD073且是前10大重仓股的基金有几个？","2020年12月年报(含半年报),持有20平安银行CD073且是前10大重仓股的基金有2个。","[(2,)]"
197,新疆浩源天然气股份有限公司从事的业务具有较为明显的区域性特征，主要体现在什么方面？,N_A,N_A
198,"我想了解一下东方阿尔法基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",东方阿尔法基金管理有限公司2020年成立的混合型基金，其管理费率的平均值是1.20%。,"[(1.2,)]"
199,宁波立立电子股份有限公司本次发行多少股？,N_A,N_A
200,截至2011年，内蒙古君正能源化工股份有限公司正在从事的研发项目有哪些？,N_A,N_A
201,查询下基金代码005137的基金，它的托管人是？,查询下基金代码005137的基金，它的托管人是？,SQL未能成功执行！
202,大连派思燃气系统股份有限公司在哪些年份获得了美国GE公司的奖项？,N_A,N_A
203,20210106日，请给出汇安宜创量化精选混合C基金的管理人和累计单位净值。,20210106日，汇安宜创量化精选混合C基金的管理人是汇安基金管理有限责任公司，累计单位净值是1.5558元。,"[('汇安基金管理有限责任公司', 1.5558)]"
204,请帮我计算，在20210715，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20210715，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是300178，涨跌幅是4.62%。,"[('300178', 4.620462046204625)]"
205,"在20201231的年报(含半年报)中，泰康长江经济带债券C基金的债券持仓,其持有最大仓位的债券类型是什么?","在20201231的年报(含半年报)中，泰康长江经济带债券C基金的债券持仓,其持有最大仓位的债券类型是中期票据。","[('中期票据',)]"
206,森赫电梯股份有限公司境外销售的获客方式有哪些？,N_A,N_A
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,N_A,N_A
208,烟台杰瑞石油服务集团股份有限公司在成立以来业务范围如何扩展？,N_A,N_A
209,截至本招股意向书签署日，浙江开尔新材料股份有限公司的全资子公司是哪些？,N_A,N_A
210,我想知道股票300819在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票300819在申万行业分类下的二级行业是纺织制造。,"[('纺织制造',)]"
211,股票002215在20190228日期中的收盘价是多少?（小数点保留3位）,股票002215在20190228日期中的收盘价是6.240元。,"[(6.24,)]"
212,请问股票代码为002164的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,股票代码为002164的股票在2019年内日成交量低于该股票当年平均日成交量的有173个交易日。,"[(173,)]"
