问题id,问题,答案,分类
175,汉嘉设计集团股份有限公司法定代表人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据问题描述，我们需要在汉嘉设计集团股份有限公司的招股说明书中查找答案。",Text
176,浙商智多宝稳健一年持有期混合A基金在20211231且报告类型是季报的持债市值中，哪类债券市值最高？,回答：“基金股票数据库”,SQL
177,股票000554在20210723日期中的收盘价是多少?（小数点保留3位）,回答：“基金股票数据库”,SQL
178,20190726日，一级行业为电力设备的股票的成交量合计是多少？取整。,这个问题需要在基金股票数据库中查找相关数据并进行计算。因此，答案是“基金股票数据库”。,SQL
179,湖南国科微电子股份有限公司的主营业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
180,20201231日，中国化学在多少只基金的前五大重仓股中？,问题：“该基金股票数据库”,SQL
181,在2020年7月10日，使用中信行业分类标准，股票代码603801是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
182,江苏爱康太阳能科技股份有限公司拥有的参股子公司是哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
183,我想知道兴全磐稳增利债券C基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
184,西安启源机电装备股份有限公司专用设备销售价格波动的主要原因是什么？,该问题的描述类别最适合放在招股说明书中。,Text
185,从长期来看，影响烟台杰瑞石油服务集团股份有限公司所处行业景气程度的因素有哪些？,该问题属于招股说明书中提到的内容。,Text
186,北京天宜上佳高新材料股份有限公司外购件有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
187,我想知道浦银安盛双债增强债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
188,在2020年12月季报中，持有东方雨虹这一股票且市值占基金资产净值比不小于5%的有几只基金？,回答：“基金股票数据库”,SQL
189,浙江双飞无油轴承股份有限公司目前的主要产品应用在哪些下游领域？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
190,我想知道博时价值臻选两年持有期灵活配置混合C基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
191,20200923港股下跌的股票家数有多少家?,基金股票数据库,SQL
192,我想知道凯石沣混合C基金在20201231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
193,"我想了解南方益和灵活配置混合基金,在2019年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
194,昇兴集团股份有限公司的主要产品是什么？其主要原材料是什么？,该问题的答案可能包含在昇兴集团股份有限公司的招股说明书中。,Text
195,国寿安保泰弘纯债债券基金在20210930的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
196,"请查询：2020年12月年报(含半年报),持有20平安银行CD073且是前10大重仓股的基金有几个？",回答：“基金股票数据库”,SQL
197,新疆浩源天然气股份有限公司从事的业务具有较为明显的区域性特征，主要体现在什么方面？,该问题的描述未给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
198,"我想了解一下东方阿尔法基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",回答：“基金股票数据库”,SQL
199,宁波立立电子股份有限公司本次发行多少股？,该问题的答案可能包含在宁波立立电子股份有限公司的招股说明书中。,Text
200,截至2011年，内蒙古君正能源化工股份有限公司正在从事的研发项目有哪些？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法确定该问题的答案来源。,Text
201,查询下基金代码005137的基金，它的托管人是？,基金股票数据库,SQL
202,大连派思燃气系统股份有限公司在哪些年份获得了美国GE公司的奖项？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
203,20210106日，请给出汇安宜创量化精选混合C基金的管理人和累计单位净值。,回答：“基金股票数据库”,SQL
204,请帮我计算，在20210715，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,该问题需要在基金股票数据库中查找答案。,SQL
205,"在20201231的年报(含半年报)中，泰康长江经济带债券C基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
206,森赫电梯股份有限公司境外销售的获客方式有哪些？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法确定答案来源。,Text
207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
208,烟台杰瑞石油服务集团股份有限公司在成立以来业务范围如何扩展？,该问题的描述不清，无法确定应该在招股说明书中还是在基金股票数据库中查找答案。请提供更多的信息或者更清晰的问题描述。,Text
209,截至本招股意向书签署日，浙江开尔新材料股份有限公司的全资子公司是哪些？,回答：“该公司的招股说明书”,Text
210,我想知道股票300819在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
211,股票002215在20190228日期中的收盘价是多少?（小数点保留3位）,问题：“股票002215在20190228日期中的收盘价是多少?（小数点保留3位）”属于基金股票数据库。,SQL
212,请问股票代码为002164的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
213,平安惠添纯债债券基金在20190930的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
214,帮我查询在2020年12月31日，代码为011131的基金前20大重仓股票中属于中信二级生物医药Ⅱ行业的平均市值是多少？小数点后保留不超过3位。,基金股票数据库,SQL
215,针对欧盟的REACH法规，联化科技股份有限公司计划采取哪些应对措施？,该问题属于招股说明书中提到的问题。,Text
216,在2019年11月16日，使用中信行业分类标准，股票代码003004是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
217,在燃煤电厂脱硫工程、空气预热器领域，除浙江开尔新材料股份有限公司外，还有哪些主要的竞争企业？,这个问题的答案应该在基金的股票数据库中。,Text
218,"我想了解一下红塔红土基金管理有限公司2019年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",回答：“基金股票数据库”,SQL
219,我想知道股票000809在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
