问题,SQL,SQL结果,答案
20190308日，一级行业为采掘的股票的成交量合计是多少？取整。,"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190308'
AND t2.一级行业名称 = '采掘'
LIMIT 1;",[{'成交量合计': 4180445167}],20190308日，一级行业为采掘的股票的成交量合计是4180445167股。
20200624日，成交量最大的前一家上市公司的股票代码是什么？按成交量从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20200624'
ORDER BY [成交量(股)] DESC
LIMIT 1;",[{'股票代码': '000725'}],20200624日，成交量最大的前一家上市公司的股票代码按成交量从大到小依次是000725。
股票002201在20200408日期中的收盘价是多少?（小数点保留3位）,"SELECT ROUND([收盘价(元)], 3) AS 收盘价
FROM A股票日行情表
WHERE 股票代码 = '002201'
AND 交易日 = '20200408'
LIMIT 1;",[{'收盘价': 15.92}],股票002201在20200408日期中的收盘价是15.920元。
请问2021年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-06-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 1431, '净申购份额': 298898333820.34}]",2021年二季度有1431家基金是净申购，它们的净申购份额加起来是298898333820.34份。
2019年年度报告里，太平基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者少的基金有多少只?,"SELECT COUNT(*) AS 数量
FROM 基金份额持有人结构
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '太平基金管理有限公司'
)
AND 定期报告所属年度 = 2019
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额 < 个人投资者持有的基金份额
LIMIT 1;",[{'数量': 1}],2019年年度报告里，太平基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者少的基金有1只。
"我想了解长信先锐混合C基金,在2020年一季度的季报第1大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '长信先锐混合C'
        AND 持仓日期 = '20200331'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 1
        LIMIT 1
    )
    AND 交易日 BETWEEN '20200101' AND '20200331'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': -14.1}],"长信先锐混合C基金,在2020年一季度的季报第1大重股当个季度的涨跌幅是-14.10%。"
我想知道光大保德信瑞和混合C基金，在2019年年度报告中，前8大重仓股中，有多少只股票在报告期内取得正收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '光大保德信瑞和混合C'
        AND 持仓日期 = '20191231'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 8
    )
    AND 交易日 BETWEEN '20190101' AND '20191231'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",[{'数量': 0}],光大保德信瑞和混合C基金，在2019年年度报告中，前8大重仓股中，有0只股票在报告期内取得正收益。
"我想了解一下民生加银基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。","SELECT ROUND(AVG(管理费率), 2) AS 平均管理费率
FROM 基金基本信息
WHERE 管理人 = '民生加银基金管理有限公司'
AND 成立日期 LIKE '2020%'
AND 基金类型 = '混合型'
LIMIT 1;",[{'平均管理费率': 1.04}],"民生加银基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是1.04%。"
我想知道在20211231的季报里，景顺长城集英成长两年定期开放混合投资的股票分别是哪些申万一级行业？,"SELECT DISTINCT(一级行业名称)
FROM A股公司行业划分表 t1 JOIN 基金股票持仓明细 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日期 = t2.持仓日期
AND t1.交易日期 = '20211231'
AND t1.行业划分标准 = '申万行业分类'
AND t2.报告类型 = '季报'
AND t2.基金简称 = '景顺长城集英成长两年定期开放混合';","[{'一级行业名称': '医药生物'}, {'一级行业名称': '农林牧渔'}, {'一级行业名称': '食品饮料'}, {'一级行业名称': '休闲服务'}]",在20211231的季报里，景顺长城集英成长两年定期开放混合投资的股票分别是医药生物、农林牧渔、食品饮料、休闲服务申万一级行业。
"请帮我查询下，在20201125，中信行业分类里一级行业为建材行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","SELECT t1.股票代码, t1.[成交金额(元)]
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20201125'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '建材'
ORDER BY t1.[成交金额(元)] DESC
LIMIT 1;","[{'股票代码': '600585', '成交金额(元)': 1466206685.0}]","在20201125，中信行业分类里一级行业为建材行业的所有股票里, 成交金额(元)最多的股票的代码是600585，成交金额是1466206685.0元。"
我想知道东方红优质甄选一年持有期混合A基金，在2020年年度报告中，前6大重仓股中，有多少只股票在报告期内取得正收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '东方红优质甄选一年持有期混合A'
        AND 持仓日期 = '20201231'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 6
    )
    AND 交易日 BETWEEN '20200101' AND '20201231'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",[{'数量': 4}],东方红优质甄选一年持有期混合A基金，在2020年年度报告中，前6大重仓股中，有4只股票在报告期内取得正收益。
请问2021年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-12-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 1696, '净申购份额': 456868200841.76}]",2021年四季度有1696家基金是净申购，它们的净申购份额加起来是456868200841.76份。
"假定股票'日波动值'计算公式为：'日波动值' = 日最高价-日最低价。请帮我查询下在2021年，申万行业分类行业划分标准,电子一级行业中，股票日均波动值最小的股票对应的股票代码是？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2021%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '电子'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[最高价(元)] - t1.[最低价(元)]) ASC
LIMIT 1;",[{'股票代码': '000670'}],"在2021年，申万行业分类行业划分标准,电子一级行业中，股票日均波动值最小的股票对应的股票代码是000670。"
易方达中证银行指数(LOF)A基金在20210630的季报里，前六大持仓占比的债券名称是什么?,"SELECT 债券名称
FROM 基金债券持仓明细
WHERE 基金简称 = '易方达中证银行指数(LOF)A'
AND 持仓日期 = '20210630'
AND 报告类型 = '季报'
ORDER BY 第N大重仓股 ASC
LIMIT 6;",[{'债券名称': '南银转债'}],易方达中证银行指数(LOF)A基金在20210630的季报里，前六大持仓占比的债券名称是南银转债。
2019年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2019-06-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净赎回), 2) AS 净赎回份额
FROM t1
WHERE 净赎回 > 0
LIMIT 1;","[{'数量': 482, '净赎回份额': 121459761741.83}]",2019年二季度，有482家基金发生了净赎回，总共赎回了121459761741.83份额。
"帮我算一下在20190911,代码为02303的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND(([最高价(元)] - [最低价(元)]) / [昨收盘(元)], 3) AS 日价格振幅
FROM 港股票日行情表
WHERE 交易日 = '20190911'
AND 股票代码 = '02303'
LIMIT 1;",[{'日价格振幅': 0.092}],"在20190911,代码为02303的港股日价格振幅是0.092。"
请帮我查询在截止2019-03-31的报告期间，基金总份额提升的基金数量是多少？,"SELECT COUNT(*) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2019-03-31%'
AND 报告期期末基金总份额 > 报告期期初基金总份额
LIMIT 1;",[{'数量': 145}],在截止2019-03-31的报告期间，基金总份额提升的基金数量是145只。
在20200516，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20200516'
AND 行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'一级行业名称': '机械'}],在20200516，按照中信行业分类的行业划分标准，机械一级行业的A股公司数量最多。
请查询：在20201110，属于中信二级电气设备行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20201110'
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '电气设备'
LIMIT 1;",[{'平均成交金额': 149562852.24088}],在20201110，属于中信二级电气设备行业的A股股票，它们的平均成交金额是149562852.24088元。
20190906日，成交量最大的前六家上市公司的股票代码是什么？按成交量从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20190906'
ORDER BY [成交量(股)] DESC
LIMIT 6;","[{'股票代码': '000725'}, {'股票代码': '003816'}, {'股票代码': '000063'}, {'股票代码': '300059'}, {'股票代码': '300088'}, {'股票代码': '002600'}]",20190906日，成交量最大的前六家上市公司的股票代码按成交量从大到小依次是000725、003816、000063、300059、300088、002600。
我想知道招商科技创新混合A在2021年Q3的季报中，该基金的第7大重仓股的代码是什么?,"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '招商科技创新混合A'
AND 持仓日期 = '20210930'
AND 报告类型 = '季报'
AND 第N大重仓股 = 7
LIMIT 1;",[{'股票代码': '603650'}],招商科技创新混合A在2021年Q3的季报中，该基金的第7大重仓股的代码是603650。
我想知道在2021年，新华基金管理股份有限公司已发行的基金中，有多少只基金报告期期初基金总份额大于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '新华基金管理股份有限公司'
    )
    AND 定期报告所属年度 = 2021
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 > 报告期期末基金总份额
LIMIT 1;",[{'数量': 9}],在2021年，新华基金管理股份有限公司已发行的基金中，有9只基金报告期期初基金总份额大于报告期期末基金总份额。
帮我查询在2020年12月31日，代码为007387的基金前33大重仓股票中属于中信二级电气设备行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(市值), 3) AS 平均市值
FROM 基金股票持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.持仓日期 = '20201231'
AND t1.基金代码 = '007387'
AND t1.第N大重仓股 <= 33
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '电气设备'
LIMIT 1;",[{'平均市值': 2710605.333}],在2020年12月31日，代码为007387的基金前33大重仓股票中属于中信二级电气设备行业的平均市值是2710605.333。
请帮我计算：在20200505，日收益率为负的港股股票有几个。,"SELECT COUNT(股票代码) AS 数量
FROM 港股票日行情表
WHERE 交易日 = '20200505'
AND [收盘价(元)] < [昨收盘(元)]
LIMIT 1;",[{'数量': 835}],在20200505，日收益率为负的港股股票有835个。
